date,index,close
2026-09-08,Nifty 50,23635.1
2026-09-08,Nifty 500,23106.1
2026-09-08,Nifty Midcap 150,23090
2026-09-08,Nifty Smallcap 250,18527.2
2026-09-08,Nifty Microcap 250,26715.4
2026-09-09,Nifty 50,23431.50
2026-09-09,Nifty 500,22958.75
2026-09-09,Nifty Midcap 150,22990.95
2026-09-09,Nifty Smallcap 250,18431.95
2026-09-09,Nifty Microcap 250,26675.30
2026-09-10,Nifty 50,23477.80
2026-09-10,Nifty 500,22952.35
2026-09-10,Nifty Midcap 150,22904.25
2026-09-10,Nifty Smallcap 250,18433.40
2026-09-10,Nifty Microcap 250,26623.40
2026-09-11,Nifty 50,23398.10
2026-09-11,Nifty 500,22866.50
2026-09-11,Nifty Midcap 150,22847.85
2026-09-11,Nifty Smallcap 250,18339.90
2026-09-11,Nifty Microcap 250,26650.70
2026-09-14,Nifty 50,23398.10
2026-09-14,Nifty 500,22866.50
2026-09-14,Nifty Midcap 150,22847.85
2026-09-14,Nifty Smallcap 250,18339.90
2026-09-14,Nifty Microcap 250,26650.70
2026-09-15,Nifty 50,23118.60
2026-09-15,Nifty 500,22477.45
2026-09-15,Nifty Midcap 150,22358.80
2026-09-15,Nifty Smallcap 250,17892.80
2026-09-15,Nifty Microcap 250,25780.30
2026-09-16,Nifty 50,23217.60
2026-09-16,Nifty 500,22532.00
2026-09-16,Nifty Midcap 150,22368.80
2026-09-16,Nifty Smallcap 250,17863.30
2026-09-16,Nifty Microcap 250,25743.90
2026-09-17,Nifty 50,23270.60
2026-09-17,Nifty 500,22654.65
2026-09-17,Nifty Midcap 150,22568.85
2026-09-17,Nifty Smallcap 250,18009.25
2026-09-17,Nifty Microcap 250,25962.15
2026-09-18,Nifty 50,23346.40
2026-09-18,Nifty 500,22840.55
2026-09-18,Nifty Midcap 150,22901.85
2026-09-18,Nifty Smallcap 250,18287.40
2026-09-18,Nifty Microcap 250,26380.70
2026-09-22,Nifty 50,23329.00
2026-09-22,Nifty 500,22794.20
2026-09-22,Nifty Midcap 150,22787.20
2026-09-22,Nifty Smallcap 250,18260.60
2026-09-22,Nifty Microcap 250,26451.90
2026-09-23,Nifty 50,23446.80
2026-09-23,Nifty 500,22935.10
2026-09-23,Nifty Midcap 150,22928.85
2026-09-23,Nifty Smallcap 250,18411.40
2026-09-23,Nifty Microcap 250,26794.10
2026-09-24,Nifty 50,23063.10
2026-09-24,Nifty 500,22552.60
2026-09-24,Nifty Midcap 150,22469.90
2026-09-24,Nifty Smallcap 250,18155.50
2026-09-24,Nifty Microcap 250,26396.35
2026-09-25,Nifty 50,23140.50
2026-09-25,Nifty 500,22603.50
2026-09-25,Nifty Midcap 150,22437.00
2026-09-25,Nifty Smallcap 250,18158.90
2026-09-25,Nifty Microcap 250,26472.85
